地域階層,地域コード,地域,昭和60年／総数(人),昭和60年／男(人),昭和60年／女(人),昭和61年／総数(人),昭和61年／男(人),昭和61年／女(人),昭和62年／総数(人),昭和62年／男(人),昭和62年／女(人),昭和63年／総数(人),昭和63年／男(人),昭和63年／女(人),昭和64年／総数(人),昭和64年／男(人),昭和64年／女(人),平成2年／総数(人),平成2年／男(人),平成2年／女(人),平成3年／総数(人),平成3年／男(人),平成3年／女(人),平成4年／総数(人),平成4年／男(人),平成4年／女(人),平成5年／総数(人),平成5年／男(人),平成5年／女(人),平成6年／総数(人),平成6年／男(人),平成6年／女(人),平成7年／総数(人),平成7年／男(人),平成7年／女(人),平成8年／総数(人),平成8年／男(人),平成8年／女(人),平成9年／総数(人),平成9年／男(人),平成9年／女(人),平成10年／総数(人),平成10年／男(人),平成10年／女(人),平成11年／総数(人),平成11年／男(人),平成11年／女(人),平成12年／総数(人),平成12年／男(人),平成12年／女(人),平成13年／総数(人),平成13年／男(人),平成13年／女(人),平成14年／総数(人),平成14年／男(人),平成14年／女(人),平成15年／総数(人),平成15年／男(人),平成15年／女(人),平成16年／総数(人),平成16年／男(人),平成16年／女(人),平成17年／総数(人),平成17年／男(人),平成17年／女(人),平成18年／総数(人),平成18年／男(人),平成18年／女(人),平成19年／総数(人),平成19年／男(人),平成19年／女(人),平成20年／総数(人),平成20年／男(人),平成20年／女(人),平成21年／総数(人),平成21年／男(人),平成21年／女(人),平成22年／総数(人),平成22年／男(人),平成22年／女(人),平成23年／総数(人),平成23年／男(人),平成23年／女(人),平成24年／総数(人),平成24年／男(人),平成24年／女(人),平成25年／人口総計／総数(人),平成25年／人口総計／男(人),平成25年／人口総計／女(人),平成25年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成25年／人口総計／人口総数のうち日本人（再掲）／男(人),平成25年／人口総計／人口総数のうち日本人（再掲）／女(人),平成26年／人口総計／総数(人),平成26年／人口総計／男(人),平成26年／人口総計／女(人),平成26年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成26年／人口総計／人口総数のうち日本人（再掲）／男(人),平成26年／人口総計／人口総数のうち日本人（再掲）／女(人),平成27年／人口総計／総数(人),平成27年／人口総計／男(人),平成27年／人口総計／女(人),平成27年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成27年／人口総計／人口総数のうち日本人（再掲）／男(人),平成27年／人口総計／人口総数のうち日本人（再掲）／女(人),平成28年／人口総計／総数(人),平成28年／人口総計／男(人),平成28年／人口総計／女(人),平成28年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成28年／人口総計／人口総数のうち日本人（再掲）／男(人),平成28年／人口総計／人口総数のうち日本人（再掲）／女(人),平成29年／人口総計／総数(人),平成29年／人口総計／男(人),平成29年／人口総計／女(人),平成29年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成29年／人口総計／人口総数のうち日本人（再掲）／男(人),平成29年／人口総計／人口総数のうち日本人（再掲）／女(人),平成30年／人口総計／総数(人),平成30年／人口総計／男(人),平成30年／人口総計／女(人),平成30年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成30年／人口総計／人口総数のうち日本人（再掲）／男(人),平成30年／人口総計／人口総数のうち日本人（再掲）／女(人),平成31年／人口総計／総数(人),平成31年／人口総計／男(人),平成31年／人口総計／女(人),平成31年／人口総計／人口総数のうち日本人（再掲）／総数(人),平成31年／人口総計／人口総数のうち日本人（再掲）／男(人),平成31年／人口総計／人口総数のうち日本人（再掲）／女(人),令和2年／人口総計／総数(人),令和2年／人口総計／男(人),令和2年／人口総計／女(人),令和2年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和2年／人口総計／人口総数のうち日本人（再掲）／男(人),令和2年／人口総計／人口総数のうち日本人（再掲）／女(人),令和3年／人口総計／総数(人),令和3年／人口総計／男(人),令和3年／人口総計／女(人),令和3年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和3年／人口総計／人口総数のうち日本人（再掲）／男(人),令和3年／人口総計／人口総数のうち日本人（再掲）／女(人),令和4年／人口総計／総数(人),令和4年／人口総計／男(人),令和4年／人口総計／女(人),令和4年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和4年／人口総計／人口総数のうち日本人（再掲）／男(人),令和4年／人口総計／人口総数のうち日本人（再掲）／女(人),令和5年／人口総計／総数(人),令和5年／人口総計／男(人),令和5年／人口総計／女(人),令和5年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和5年／人口総計／人口総数のうち日本人（再掲）／男(人),令和5年／人口総計／人口総数のうち日本人（再掲）／女(人),令和6年／人口総計／総数(人),令和6年／人口総計／男(人),令和6年／人口総計／女(人),令和6年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和6年／人口総計／人口総数のうち日本人（再掲）／男(人),令和6年／人口総計／人口総数のうち日本人（再掲）／女(人),令和7年／人口総計／総数(人),令和7年／人口総計／男(人),令和7年／人口総計／女(人),令和7年／人口総計／人口総数のうち日本人（再掲）／総数(人),令和7年／人口総計／人口総数のうち日本人（再掲）／男(人),令和7年／人口総計／人口総数のうち日本人（再掲）／女(人)
0,13000,総数,2155242,1104224,1051018,2097660,1074588,1023072,2027876,1038311,989565,1945822,996104,949718,1858201,951072,907129,1777415,909651,867764,1712004,876014,835990,1656726,848258,808468,1605905,821878,784027,1557250,797086,760164,1521495,778808,742687,1491832,763663,728169,1468773,751774,716999,1452699,743521,709178,1440642,737598,703044,1430154,732187,697967,1427229,730632,696597,1427848,731204,696644,1432509,733599,698910,1435292,735452,699840,1445820,740555,705265,1451916,743894,708022,1461387,748455,712932,1471628,753847,717781,1482232,759524,722708,1489947,763846,726101,1501531,769877,731654,1504180,771109,733071,1542837,791146,751691,1509428,773960,735468,1549711,794340,755371,1516430,777206,739224,1561180,799970,761210,1525911,781816,744095,1573377,806367,767010,1535808,786953,748855,1585129,812177,772952,1544180,791182,752998,1592986,815989,776997,1549223,793507,755716,1601348,820158,781190,1554908,796251,758657,1603044,821187,781857,1553841,795796,758045,1600618,819828,780790,1552954,795117,757837,1581097,809866,771231,1534477,785661,748816,1561365,799421,761944,1511130,773421,737709,1540731,788746,751985,1485981,760312,725669,1521973,778959,743014,1462203,748044,714159
1,13100,区部,1426497,729670,696827,1384032,708020,676012,1333314,681790,651524,1273617,651219,622398,1212140,619733,592407,1153827,589838,563989,1107243,565853,541390,1068628,546273,522355,1032339,527491,504848,997121,509564,487557,971443,496619,474824,950315,486014,464301,934822,478100,456722,923473,472247,451226,915390,468321,447069,907817,464379,443438,905461,463000,442461,905864,463352,442512,908688,464793,443895,909795,465603,444192,916125,468953,447172,921244,471662,449582,929002,475351,453651,936737,479475,457262,945626,484292,461334,953221,488406,464815,963353,493738,469615,968052,495990,472062,1003554,514131,489423,975164,499514,475650,1012781,518557,494224,984568,504025,480543,1026753,525719,501034,996717,510239,486478,1040844,533042,507802,1008791,516466,492325,1054154,539781,514373,1019110,521776,497334,1065140,545042,520098,1027584,525734,501850,1075690,550190,525500,1035925,529710,506215,1081700,553249,528451,1039676,531557,508119,1082862,553839,529023,1042325,532783,509542,1069920,547299,522621,1030605,526854,503751,1057496,540760,516736,1015226,518876,496350,1045971,534687,511284,999767,510676,489091,1036147,529660,506487,985671,503535,482136
4,13101,千代田区,8800,4628,4172,8467,4463,4004,8074,4237,3837,7489,3930,3559,7102,3752,3350,6770,3606,3164,6580,3539,3041,6258,3387,2871,5935,3170,2765,5418,2856,2562,5208,2757,2451,5049,2643,2406,4942,2564,2378,4830,2476,2354,4618,2356,2262,4480,2275,2205,4455,2279,2176,4453,2247,2206,4500,2267,2233,4673,2373,2300,4818,2435,2383,4828,2424,2404,4900,2504,2396,4966,2507,2459,5101,2587,2514,5326,2707,2619,5495,2784,2711,5642,2865,2777,6045,3072,2973,5864,2975,2889,6360,3208,3152,6209,3132,3077,6947,3529,3418,6789,3452,3337,7246,3647,3599,7090,3578,3512,7550,3836,3714,7396,3761,3635,7964,4079,3885,7786,3992,3794,8397,4279,4118,8212,4188,4024,8882,4513,4369,8662,4403,4259,9256,4724,4532,9049,4613,4436,9207,4691,4516,9021,4595,4426,9187,4671,4516,8958,4553,4405,9196,4666,4530,8888,4499,4389,9083,4624,4459,8740,4446,4294
4,13102,中央区,14981,7542,7439,14471,7335,7136,13673,6940,6733,12912,6553,6359,11984,6081,5903,11384,5746,5638,10794,5439,5355,10557,5337,5220,10182,5159,5023,9904,5021,4883,9670,4941,4729,9435,4856,4579,9242,4739,4503,9120,4666,4454,9221,4672,4549,9279,4683,4596,9567,4818,4749,10085,5074,5011,10302,5206,5096,10412,5280,5132,10280,5230,5050,10332,5236,5096,10606,5330,5276,10964,5531,5433,11819,6009,5810,12256,6227,6029,12963,6605,6358,13547,6893,6654,14586,7397,7189,14208,7205,7003,15392,7842,7550,15036,7669,7367,16551,8476,8075,16162,8271,7891,17635,8981,8654,17194,8744,8450,19136,9705,9431,18583,9408,9175,20454,10306,10148,19809,9979,9830,21686,10951,10735,20956,10572,10384,22912,11582,11330,22098,11153,10945,23625,11967,11658,22801,11531,11270,23708,12006,11702,22932,11593,11339,23759,12037,11722,22862,11545,11317,23931,12133,11798,22893,11582,11311,25758,13015,12743,24422,12319,12103
4,13103,港区,30688,15805,14883,29453,15141,14312,27700,14289,13411,25510,13210,12300,23376,12090,11286,21822,11237,10585,20414,10461,9953,19197,9822,9375,18011,9195,8816,17145,8714,8431,16697,8486,8211,16309,8256,8053,16422,8264,8158,16086,8078,8008,16127,8095,8032,15951,8022,7929,16284,8255,8029,16509,8389,8120,16614,8469,8145,16813,8577,8236,17185,8818,8367,17716,9046,8670,19024,9769,9255,20663,10596,10067,21572,11016,10556,22291,11458,10833,23392,11998,11394,24028,12373,11655,27271,13892,13379,24943,12741,12202,28122,14321,13801,25984,13259,12725,29519,15009,14510,27413,13964,13449,30816,15625,15191,28695,14564,14131,32479,16505,15974,30219,15375,14844,33872,17230,16642,31530,16066,15464,35111,17933,17178,32640,16672,15968,35740,18303,17437,33291,17028,16263,35936,18362,17574,33714,17216,16498,35381,18020,17361,33477,17043,16434,35629,18121,17508,33422,16999,16423,36142,18327,17815,33616,17042,16574,35982,18248,17734,33271,16881,16390
4,13104,新宿区,47962,24474,23488,46096,23506,22590,43937,22317,21620,41184,20935,20249,38939,19779,19160,36258,18351,17907,33977,17194,16783,31734,16035,15699,29943,15087,14856,28565,14446,14119,27373,13841,13532,26428,13395,13033,25507,12980,12527,25185,12785,12400,24857,12610,12247,24441,12420,12021,24113,12336,11777,23875,12155,11720,23753,12063,11690,23692,11994,11698,23742,12053,11689,23760,12089,11671,23698,12077,11621,23773,12100,11673,23726,12124,11602,23837,12186,11651,24243,12378,11865,24344,12463,11881,27458,14033,13425,24866,12719,12147,27707,14136,13571,25271,12896,12375,28071,14335,13736,25673,13094,12579,28722,14695,14027,26330,13423,12907,29279,14992,14287,26789,13699,13090,30213,15470,14743,27695,14168,13527,30893,15759,15134,28269,14405,13864,31163,15830,15333,28543,14488,14055,31223,15809,15414,28735,14538,14197,30977,15683,15294,28631,14492,14139,30586,15558,15028,28110,14297,13813,30167,15363,14804,27576,14020,13556,29641,15121,14520,26899,13692,13207
4,13105,文京区,30461,15570,14891,29278,14967,14311,28066,14321,13745,26904,13691,13213,25445,13025,12420,24088,12398,11690,22810,11675,11135,21811,11156,10655,20871,10676,10195,19969,10218,9751,19288,9827,9461,18657,9542,9115,18047,9237,8810,17730,9064,8666,17475,9026,8449,17574,9043,8531,17558,9004,8554,17611,8956,8655,17764,8996,8768,17774,9023,8751,18135,9188,8947,18557,9421,9136,18984,9631,9353,19378,9820,9558,19818,10036,9782,20142,10180,9962,20648,10450,10198,21253,10749,10504,22181,11198,10983,21778,10974,10804,23046,11577,11469,22656,11366,11290,23791,11990,11801,23391,11770,11621,24635,12444,12191,24201,12219,11982,25592,12938,12654,25099,12676,12423,26319,13375,12944,25772,13082,12690,27264,13943,13321,26653,13597,13056,28200,14387,13813,27537,14034,13503,29040,14802,14238,28355,14435,13920,29300,14948,14352,28538,14539,13999,29370,15054,14316,28487,14585,13902,29475,15101,14374,28428,14554,13874,29652,15109,14543,28401,14448,13953
4,13106,台東区,27338,13975,13363,26074,13400,12674,24614,12577,12037,23173,11812,11361,21775,11126,10649,20439,10480,9959,19462,9966,9496,18461,9443,9018,17661,8980,8681,16938,8640,8298,16452,8434,8018,15881,8063,7818,15520,7866,7654,15038,7650,7388,14776,7479,7297,14555,7397,7158,14553,7364,7189,14534,7406,7128,14638,7471,7167,14780,7552,7228,14982,7658,7324,15146,7721,7425,15434,7858,7576,15523,7884,7639,15721,8016,7705,15701,7963,7738,15804,8047,7757,15880,8112,7768,17088,8768,8320,16170,8256,7914,17272,8842,8430,16330,8329,8001,17541,8966,8575,16605,8454,8151,17653,9042,8611,16687,8513,8174,17877,9150,8727,16888,8612,8276,18058,9220,8838,17069,8688,8381,18279,9355,8924,17307,8842,8465,18424,9455,8969,17396,8914,8482,18454,9460,8994,17526,8961,8565,18126,9258,8868,17253,8798,8455,17740,9066,8674,16871,8605,8266,17663,8972,8691,16722,8479,8243,17668,8967,8701,16642,8430,8212
4,13107,墨田区,40656,20881,19775,39003,19937,19066,37174,19003,18171,35431,18098,17333,33593,17169,16424,32094,16420,15674,30776,15765,15011,29571,15204,14367,28544,14628,13916,27552,14095,13457,26546,13592,12954,25734,13180,12554,25111,12841,12270,24560,12548,12012,24155,12367,11788,23747,12140,11607,23687,12081,11606,23741,12128,11613,23816,12253,11563,23923,12223,11700,24389,12553,11836,24517,12655,11862,24842,12760,12082,25302,12999,12303,25457,13046,12411,25680,13147,12533,25917,13285,12632,25864,13288,12576,26767,13758,13009,26056,13390,12666,26849,13762,13087,26106,13373,12733,27208,13912,13296,26416,13503,12913,27742,14242,13500,26846,13776,13070,28042,14372,13670,27089,13871,13218,28395,14515,13880,27457,14020,13437,28599,14652,13947,27664,14149,13515,28745,14739,14006,27800,14224,13576,28657,14623,14034,27762,14148,13614,28185,14419,13766,27319,13965,13354,27694,14164,13530,26787,13685,13102,27565,14108,13457,26576,13586,12990,27202,13904,13298,26176,13368,12808
4,13108,江東区,76481,39266,37215,74756,38524,36232,72310,37249,35061,69167,35687,33480,65878,33991,31887,61964,31866,30098,58587,30103,28484,55913,28674,27239,53643,27526,26117,50833,26080,24753,48340,24895,23445,45804,23612,22192,44006,22773,21233,43035,22251,20784,42671,22071,20600,42012,21647,20365,42184,21731,20453,42710,21940,20770,43461,22333,21128,44349,22780,21569,45325,23298,22027,47389,24263,23126,48755,24985,23770,49783,25469,24314,51420,26315,25105,53328,27231,26097,54629,27909,26720,55788,28517,27271,59454,30391,29063,56755,29029,27726,60996,31192,29804,58276,29801,28475,62556,32049,30507,59524,30478,29046,64183,32886,31297,60956,31228,29728,65200,33457,31743,61643,31624,30019,66197,34029,32168,62341,32032,30309,66878,34310,32568,62753,32200,30553,66886,34269,32617,62622,32066,30556,67437,34543,32894,63286,32397,30889,66563,34126,32437,62556,32056,30500,66208,33783,32425,61830,31573,30257,65775,33577,32198,61059,31171,29888,64616,33062,31554,59700,30561,29139
